% пу,явка,Вышестоящая комиссия,№ УИК,"Число избирателей, внесенных в списки избирателей",10.00,12.00,15.00,18.00,"1. Число избирателей, включенных в список избирателей","2. Число избирательных бюллетеней, полученных участковой избирательной комиссией","3. Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","4. Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","5. Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",6. Число погашенных избирательных бюллетеней,7. Число избирательных бюллетеней в переносных ящиках для голосования,8. Число бюллетеней в стационарных ящиках для голосования,9. Число недействительных избирательных бюллетеней,10. Число действительных избирательных бюллетеней,11. Число утраченных избирательных бюллетеней,"12. Число избирательных бюллетеней, не учтенных при получении",13. Бабурин Сергей Николаевич,14. Грудинин Павел Николаевич,15. Жириновский Владимир Вольфович,16. Путин Владимир Владимирович,17. Собчак Ксения Анатольевна,18. Сурайкин Максим Александрович,19. Титов Борис Юрьевич,20. Явлинский Григорий Алексеевич
0.814696485623003,0.632749326145553,5 Всеволожская,183,1459,0.074,0.1624,0.4203,0.5498,1484,1400,0,918,21,461,21,918,7,932,0,0,8,73,41,765,17,4,12,12
0.79739336492891,0.755595344673232,5 Всеволожская,184,1457,0.0466,0.1838,0.4163,0.5068,1117,1300,0,827,17,456,17,827,12,832,0,0,5,64,44,673,11,5,11,19
0.805444887118194,0.784375,5 Всеволожская,185,1980,0.0581,0.2177,0.4359,0.602,1920,1900,0,1368,138,394,138,1368,12,1494,0,0,11,112,78,1213,43,10,9,18
0.837623762376238,0.794649881982691,5 Всеволожская,186,1490,0.0537,0.1772,0.4718,0.5792,1271,1400,0,980,30,390,30,980,15,995,0,0,8,54,39,846,24,5,5,14
0.830559757942512,0.82521847690387,5 Всеволожская,187,847,0.0272,0.1795,1,0.9942,801,700,0,612,49,39,49,612,9,652,0,0,3,50,26,549,13,3,3,5
0.813528336380256,0.761838440111421,5 Всеволожская,188,693,0.0361,0.2092,0.4304,0.6098,718,600,0,541,6,53,6,541,6,541,0,0,3,35,23,445,18,2,7,8
0.803563056727614,0.697971204188482,5 Всеволожская,189,3026,0.0522,0.1818,0.3987,0.5995,3056,2900,0,1989,144,767,144,1989,15,2118,0,0,10,184,100,1714,57,10,20,23
0.718146718146718,0.830128205128205,1 Бокситогорская,19,326,0.1472,0.3742,0.6963,0.7732,312,300,0,193,66,41,66,193,4,255,0,0,2,27,33,186,4,0,2,1
0.817541613316261,0.689016321129246,5 Всеволожская,190,2247,0.0441,0.1753,0.4159,0.524,2267,2100,0,1396,166,538,166,1396,16,1546,0,0,11,111,84,1277,24,10,14,15
0.859720605355064,0.743079584775087,5 Всеволожская,191,2215,0.0402,0.1557,0.3856,0.4535,2312,2200,0,1226,492,482,492,1226,34,1684,0,0,7,95,56,1477,20,6,10,13
0.788782816229117,0.503001200480192,5 Всеволожская,192,1572,0.0191,0.1419,0.3761,0.4788,1666,1300,0,820,18,462,18,820,8,830,0,0,4,82,35,661,19,9,7,13
0.787122207621551,0.559970566593083,5 Всеволожская,193,1342,0.035,0.1513,0.3979,0.5067,1359,1200,0,737,24,439,24,737,5,756,0,0,2,61,60,599,15,5,5,9
0.787202380952381,0.641221374045802,5 Всеволожская,194,1206,0.0373,0.1493,0.336,0.4939,1048,1000,0,656,16,328,16,656,7,665,0,0,1,51,46,529,18,0,13,7
0.861464968152866,0.836218375499334,5 Всеволожская,195,750,0.0333,0.2357,0.4274,0.6551,751,700,0,616,12,72,12,616,2,626,0,0,3,31,15,541,17,2,3,14
0.837231968810916,0.767389678384443,5 Всеволожская,196,2654,0.0369,0.168,0.4921,0.6858,2674,2500,0,2036,16,448,16,2036,22,2030,0,0,10,154,64,1718,41,9,18,16
0.824526420737787,0.720028715003589,5 Всеволожская,197,1380,0.0406,0.1609,0.529,0.6688,1393,1300,0,986,17,297,17,986,8,995,0,0,6,74,39,827,22,3,16,8
0.831649831649832,0.744360902255639,5 Всеволожская,198,791,0.0316,0.1542,0.3962,0.6717,798,700,0,581,13,106,13,581,3,591,0,0,7,36,21,494,14,3,8,8
0.8,0.792507204610951,5 Всеволожская,199,2591,0.032,0.1455,0.5279,0.7192,2776,2200,0,2197,3,0,3,2197,21,2179,0,0,15,150,63,1760,91,6,40,54
