tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
13 Кировская,575,68%,959,79%,,c1,yes,"21, 46"
13 Кировская,575,68%,959,79%,,c2,,40
17 Лужская,681,68%,807,82%,,c1,,"7, 46"
17 Лужская,681,68%,807,82%,,c2,yes,"15, 35"
21 Приозерская,777,68%,672,83%,,c1,,"2, 43"
21 Приозерская,777,68%,672,83%,,c2,yes,"8, 49"
25 Сосновоборская городская,938,68%,1686,76%,КОИБ,c1,yes,"19, 48"
25 Сосновоборская городская,938,68%,1686,76%,КОИБ,c2,yes,
25 Сосновоборская городская,948,68%,1890,76%,КОИБ,c1,yes,"20, 46"
25 Сосновоборская городская,948,68%,1890,76%,КОИБ,c2,yes,"21, 42"
26 Тихвинская,838,68%,1340,79%,,c1,yes,"5, 36"
26 Тихвинская,838,68%,1340,79%,,c2,yes,"5, 36"
3 Волховская,106,68%,937,77%,,c1,yes,35
3 Волховская,106,68%,937,77%,,c2,,"15, 36"
1 Бокситогорская,11,67%,1313,80%,,c1,yes,"20, 45"
1 Бокситогорская,11,67%,1313,80%,,c2,,"21, 36"
1 Бокситогорская,5,67%,997,77%,,c1,,35
1 Бокситогорская,5,67%,997,77%,,c2,yes,39
7 Гатчинская,368,67%,1297,75%,,c1,yes,"23, 43"
7 Гатчинская,368,67%,1297,75%,,c2,,"21, 36"
7 Гатчинская,372,67%,1818,76%,,c1,,"21, 43"
7 Гатчинская,372,67%,1818,76%,,c2,,"20, 45"
7 Гатчинская,395,67%,1152,79%,,c1,yes,"20, 38"
7 Гатчинская,395,67%,1152,79%,,c2,,"21, 41"
7 Гатчинская,457,67%,820,77%,,c1,yes,"5, 39"
7 Гатчинская,457,67%,820,77%,,c2,,"19, 39"
11 Кингисеппская,478,67%,1087,80%,,c1,,
11 Кингисеппская,478,67%,1087,80%,,c2,yes,"5, 44"
11 Кингисеппская,487,67%,1155,80%,,c1,yes,"8, 36"
11 Кингисеппская,487,67%,1155,80%,,c2,yes,"4, 35"
11 Кингисеппская,488,67%,1084,79%,,c1,,
11 Кингисеппская,488,67%,1084,79%,,c2,yes,"5, 35"
11 Кингисеппская,489,67%,1140,78%,,c1,yes,"4, 46"
11 Кингисеппская,489,67%,1140,78%,,c2,yes,40
11 Кингисеппская,493,67%,780,76%,,c1,yes,"2, 38"
11 Кингисеппская,493,67%,780,76%,,c2,yes,"6, 45"
12 Киришская,518,67%,1304,76%,КОИБ,c1,,"20, 35"
12 Киришская,518,67%,1304,76%,КОИБ,c2,yes,"20, 35"
12 Киришская,527,67%,1209,74%,КОИБ,c1,yes,"21, 40"
12 Киришская,527,67%,1209,74%,КОИБ,c2,yes,"19, 37"
12 Киришская,533,67%,1302,76%,КОИБ,c1,yes,"4, 35"
12 Киришская,533,67%,1302,76%,КОИБ,c2,yes,"16, 37"
20 Подпорожская,726,67%,801,82%,,c1,,"17, 45"
20 Подпорожская,726,67%,801,82%,,c2,yes,"16, 38"
21 Приозерская,768,67%,1030,82%,,c1,,45
21 Приозерская,768,67%,1030,82%,,c2,yes,"5, 46"
25 Сосновоборская городская,941,67%,1495,77%,КОИБ,c1,yes,"19, 46"
25 Сосновоборская городская,941,67%,1495,77%,КОИБ,c2,yes,20
26 Тихвинская,828,67%,1371,78%,,c1,,"2, 42"
26 Тихвинская,828,67%,1371,78%,,c2,yes,"20, 37"
26 Тихвинская,829,67%,1449,88%,,c1,yes,"20, 35"
26 Тихвинская,829,67%,1449,88%,,c2,yes,"19, 41"
26 Тихвинская,837,67%,1313,82%,,c1,yes,"15, 46"
26 Тихвинская,837,67%,1313,82%,,c2,yes,46
27 Тосненская,877,67%,1155,81%,,c1,yes,"19, 39"
27 Тосненская,877,67%,1155,81%,,c2,yes,"19, 41"
5 Всеволожская,134,67%,962,83%,,c1,yes,
5 Всеволожская,134,67%,962,83%,,c2,,"20, 35"
5 Всеволожская,171,67%,805,78%,,c1,yes,"21, 47"
5 Всеволожская,171,67%,805,78%,,c2,yes,"6, 36"
6 Выборгская,247,67%,918,76%,,c1,,"23, 39"
6 Выборгская,247,67%,918,76%,,c2,,"21, 45"
6 Выборгская,273,67%,1211,73%,,c1,yes,35
6 Выборгская,273,67%,1211,73%,,c2,,"15, 44"
7 Гатчинская,394,66%,1181,77%,,c1,,"20, 43"
7 Гатчинская,394,66%,1181,77%,,c2,yes,
7 Гатчинская,408,66%,981,82%,,c1,yes,
7 Гатчинская,408,66%,981,82%,,c2,yes,
7 Гатчинская,446,66%,1215,78%,,c1,yes,"21, 52"
7 Гатчинская,446,66%,1215,78%,,c2,yes,"22, 36"
11 Кингисеппская,482,66%,1018,81%,,c1,yes,
11 Кингисеппская,482,66%,1018,81%,,c2,yes,
11 Кингисеппская,490,66%,1136,79%,,c1,yes,"20, 37"
11 Кингисеппская,490,66%,1136,79%,,c2,yes,"4, 41"
12 Киришская,521,66%,1256,78%,КОИБ,c1,yes,"5, 36"
12 Киришская,521,66%,1256,78%,КОИБ,c2,yes,"20, 35"
13 Кировская,563,66%,464,79%,,c1,,"18, 40"
13 Кировская,563,66%,464,79%,,c2,yes,"16, 40"
13 Кировская,565,66%,1667,77%,,c1,yes,"6, 36"
13 Кировская,565,66%,1667,77%,,c2,,"25, 36"
13 Кировская,570,66%,1544,80%,,c1,,42
13 Кировская,570,66%,1544,80%,,c2,yes,37
20 Подпорожская,742,66%,681,84%,,c1,,"4, 35"
20 Подпорожская,742,66%,681,84%,,c2,yes,"5, 36"
26 Тихвинская,835,66%,1229,79%,,c1,,"21, 44"
26 Тихвинская,835,66%,1229,79%,,c2,,"20, 36"
26 Тихвинская,862,66%,483,82%,,c1,yes,
26 Тихвинская,862,66%,483,82%,,c2,yes,
3 Волховская,79,66%,1442,79%,,c1,yes,"20, 40"
3 Волховская,79,66%,1442,79%,,c2,,"21, 40"
2 Волосовская,36,66%,1256,77%,,c1,,
2 Волосовская,36,66%,1256,77%,,c2,yes,
5 Всеволожская,116,66%,982,83%,,c1,yes,
5 Всеволожская,116,66%,982,83%,,c2,yes,
5 Всеволожская,169,66%,1144,81%,,c1,yes,"25, 48"
5 Всеволожская,169,66%,1144,81%,,c2,,"21, 43"
5 Всеволожская,225,66%,1491,73%,,c1,,"5, 35"
5 Всеволожская,225,66%,1491,73%,,c2,,"2, 45"
6 Выборгская,267,66%,1083,73%,,c1,,"22, 46"
6 Выборгская,267,66%,1083,73%,,c2,yes,"21, 41"
7 Гатчинская,367,65%,1645,75%,,c1,yes,"20, 40"
7 Гатчинская,367,65%,1645,75%,,c2,,"23, 37"
7 Гатчинская,369,65%,1737,76%,,c1,yes,"3, 44"
7 Гатчинская,369,65%,1737,76%,,c2,,"16, 37"
7 Гатчинская,421,65%,648,75%,,c1,,"21, 42"
7 Гатчинская,421,65%,648,75%,,c2,yes,"19, 47"
7 Гатчинская,434,65%,966,83%,,c1,yes,"21, 49"
7 Гатчинская,434,65%,966,83%,,c2,,"21, 46"
7 Гатчинская,455,65%,1300,78%,,c1,yes,"21, 48"
7 Гатчинская,455,65%,1300,78%,,c2,yes,"21, 46"
11 Кингисеппская,479,65%,1278,74%,,c1,yes,46
11 Кингисеппская,479,65%,1278,74%,,c2,yes,"5, 41"
13 Кировская,549,65%,1256,80%,КОИБ,c1,yes,"22, 37"
13 Кировская,549,65%,1256,80%,КОИБ,c2,yes,"23, 36"
13 Кировская,557,65%,1619,80%,,c1,yes,"20, 45"
13 Кировская,557,65%,1619,80%,,c2,yes,"19, 47"
20 Подпорожская,727,65%,996,80%,,c1,,"20, 47"
20 Подпорожская,727,65%,996,80%,,c2,,"22, 35"
20 Подпорожская,736,65%,780,81%,,c1,,"20, 45"
20 Подпорожская,736,65%,780,81%,,c2,yes,"21, 42"
